gene,uniprot,organ
CFH,P08603,liver
ALS2,Q96Q42,brain
ABCB5,Q2M3G0,epididymis
SLC25A13,Q9UJS0,liver
SLC4A1,P02730,bone marrow
REXO5,Q96IC2,testis
MPO,P05164,bone marrow
PON1,P27169,liver
ABCB4,P21439,liver
SOX8,P57073,brain
YBX2,Q9Y2T7,testis
KRT33A,O76009,skin 1
TAC1,P20366,brain
DBF4,Q9UBU7,testis
LGALS14,Q8TCE9,placenta
PRSS21,Q9Y6M0,testis
PROM1,O43490,retina
GAS7,O60861,brain
CEACAM7,Q14002,intestine
CD79B,P40259,lymphoid tissue
ST7L,Q8TDW4,testis
TKTL1,P51854,testis
FMO3,P31513,liver
NOX1,Q9Y5S8,intestine
SYN1,P17600,brain
ADAM22,Q9P0K1,brain
PGLYRP1,O75594,bone marrow
MAPK8IP2,Q13387,brain
MASP2,O00187,liver
IYD,Q6PHW0,thyroid gland
TRAF3IP3,Q9Y228,lymphoid tissue
MLXIPL,Q9NP71,liver
PHF7,Q9BWX1,testis
SLC6A13,Q9NSD5,kidney
IDS,P22304,brain
PRSS3,P35030,pancreas
FMO1,Q01740,kidney
SLC6A7,Q99884,brain
DPF1,Q92782,brain
PLAUR,Q03405,bone marrow
ANLN,Q9NQW6,brain
ZBTB32,Q9Y2Y4,testis
ACP3,P15309,prostate
XYLT2,Q9H1B5,stomach 1
STMN4,Q9H169,brain
CLCA1,A8K7I4,intestine
SLC38A5,Q8WUX1,pancreas
VSIG2,Q96IQ7,stomach 1
HGF,P14210,placenta
NCDN,Q9UBB6,brain
CYP3A43,Q9HB55,liver
CPS1,P31327,liver
C8B,P07358,liver
HSD17B6,O14756,liver
KCNG1,Q9UIX4,endometrium 1
AGPAT4,Q9NRZ5,brain
APBA2,Q99767,brain
STAP1,Q9ULZ2,lymphoid tissue
CYP46A1,Q9Y6A2,brain
SLC18A1,P54219,adrenal gland
CASR,P41180,parathyroid gland
MSR1,P21757,lung
C6,P13671,liver
SOX30,O94993,testis
RTN4R,Q9BZR6,brain
CDH10,Q9Y6N8,brain
SPATA7,Q9P0W8,testis
ZPBP,Q9BS86,testis
TG,P01266,thyroid gland
DCUN1D1,Q96GG9,testis
ZIC2,O95409,brain
GUCA2B,Q16661,intestine
MAGEC2,Q9UBF1,testis
CP,P00450,liver
ANO2,Q9NQ90,retina
GUCA1A,P43080,retina
RCN1,Q15293,epididymis
NRIP2,Q9BQI9,brain
LY75,O60449,lymphoid tissue
FOXC1,Q12948,salivary gland
SPO11,Q9Y5K1,testis
RELT,Q969Z4,bone marrow
ITIH4,Q14624,liver
ITIH1,P19827,liver
GYG2,O15488,adipose tissue
SOAT1,P35610,adrenal gland
F7,P08709,liver
RASGRF1,Q13972,brain
DNAJC25,Q9H1X3,liver
SEZ6,Q53EL9,brain
SLC6A16,Q9GZN6,testis
CA11,O75493,brain
DLX3,O60479,skin 1
SPA17,Q15506,testis
HIPK2,Q9H2X6,brain
DDX20,Q9UHI6,testis
BCAS1,O75363,brain
POU1F1,P28069,pituitary gland
ROPN1,Q9HAT0,testis
PACC1,Q9H813,brain
COL17A1,Q9UMD9,skin 1
FGFR2,P21802,brain
STAG3,Q9UJ98,testis
PDZD4,Q76G19,brain
ATP2B3,Q16720,choroid plexus
PPP2R5B,Q15173,brain
PAGE1,O75459,testis
ADAM7,Q9H2U9,epididymis
GAL,P22466,pituitary gland
GUCY2C,P25092,intestine
SCT,P09683,intestine
FRMPD1,Q5SYB0,retina
CNGB1,Q14028,retina
EPHA8,P29322,choroid plexus
SLC12A3,P55017,kidney
MS4A12,Q9NXJ0,intestine
ING3,Q9NXR8,bone marrow
SEL1L,Q9UBV2,pancreas
SPP2,Q13103,liver
FCGR2B,P31994,placenta
SCARB1,Q8WTV0,adrenal gland
MOV10L1,Q9BXT6,testis
PANX2,Q96RD6,brain
FNDC8,Q8TC99,testis
ADAM11,O75078,brain
ABCB11,O95342,liver
CD5L,O43866,lymphoid tissue
CDHR2,Q9BYE9,intestine
SLC24A1,O60721,retina
SLC12A1,Q13621,kidney
WSCD2,Q2TBF2,brain
KCNQ2,O43526,brain
TACR2,P21452,intestine
CACNG5,Q9UF02,retina
CACNG4,Q9UBN1,brain
TYR,P14679,skin 1
FKBP6,O75344,testis
SMC1B,Q8NDV3,testis
CST7,O76096,bone marrow
PIAS2,O75928,testis
LAMP3,Q9UQV4,lung
NEBL,O76041,heart muscle
SYNJ2,O15056,brain
GNB1,P62873,retina
ZCWPW1,Q9H0M4,testis
BRINP1,O60477,brain
TP53INP2,Q8IXH6,brain
BPIFB2,Q8N4F0,salivary gland
CLUL1,Q15846,retina
CDH17,Q12864,intestine
AFM,P43652,liver
RIMS1,Q86UR5,brain
DCT,P40126,skin 1
RDH8,Q9NYR8,retina
CPB2,Q96IY4,liver
CLDND1,Q9NY35,brain
CFHR2,P36980,liver
CXCL2,P19875,liver
AFP,P02771,liver
TCF7,P36402,lymphoid tissue
IMPG2,Q9BZV3,retina
SLC13A1,Q9BZW2,kidney
MPP4,Q96JB8,retina
KCNK2,O95069,adrenal gland
TRPM3,Q9HCF6,choroid plexus
EPYC,Q99645,placenta
SLC27A5,Q9Y2P5,liver
