gene,uniprot,organ
PLIN1,O60240,adipose
GYG2,O15488,adipose
PLIN4,Q96Q06,adipose
FABP4,P15090,adipose
ADIPOQ,Q15848,adipose
IGHV3-23,P01764,adipose
JAZF1,Q86VZ6,adipose
CIDEC,Q96AQ7,adipose
LEP,P41159,adipose
ACACB,O00763,adipose
LIPE,Q05469,adipose
APOLD1,Q96LR9,adipose
PRELID2,Q8N945,adipose
GALNT15 ,Q8N3T1,adipose
TRARG1 ,Q8IXB3,adipose
PPARG,P37231,adipose
ADH1B,P00325,adipose
PRAMEF22,A3QJZ6,adipose
KRT40,Q6A162,adipose
ACSS2,Q9NR19,adipose
GAL3ST3,Q96A11,adipose
CIDEA,O60543,adipose
SLC19A3,Q9BZV2,adipose
AGTR1,P30556,adipose
TIMP4,Q99727,adipose
Aqp7,O14520,adipose
LGALS12,Q96DT0,adipose
CFD,P00746,adipose
PNPLA2,Q96AD5,adipose
CD300LG,Q6UXG3,adipose
CYP11B1,P15538,adrenal gland
CYP21A2,P08686,adrenal gland
CYP11B2,P19099,adrenal gland
HSD3B2,P26439,adrenal gland
CYP17A1,P05093,adrenal gland
STAR,P49675,adrenal gland
PNMT,P11086,adrenal gland
CYP11A1,P05108,adrenal gland
TH,P07101,adrenal gland
DBH,P09172,adrenal gland
FDX1,P10109,adrenal gland
CCN3,P48745,adrenal gland
SCARB1,Q8WTV0,adrenal gland
ARHGAP36,Q6ZRI8,adrenal gland
MC2R,Q01718,adrenal gland
MCOLN3,Q8TDD5,adrenal gland
AKR1B1,P15121,adrenal gland
SLC18A1,P54219,adrenal gland
CHGB,P05060,adrenal gland
MGARP,Q8TDB4,adrenal gland
AS3MT,Q9HBK9,adrenal gland
PHOX2A,O14813,adrenal gland
VWA5B2,Q8N398,adrenal gland
GML,Q99445,adrenal gland
KCNK3,O14649,adrenal gland
DRGX,A6NNA5,adrenal gland
TNXB,P22105,adrenal gland
MAP3K15,Q6ZN16,adrenal gland
UPK2,O00526,bladder
UPK1A,O00322,bladder
UPK1B,O75841,bladder
SNX31,Q8N9S9,bladder
DEFA4,P12838,bone marrow
PRG3,Q9Y2Y8,bone marrow
MPO,P05164,bone marrow
MMP8,P22894,bone marrow
AZU1,P20160,bone marrow
BPI,P17213,bone marrow
CEACAM8,P31997,bone marrow
CEBPE,Q15744,bone marrow
ELANE,P08246,bone marrow
MS4A3,Q96HJ5,bone marrow
HBD,P02042,bone marrow
KLF1,Q13351,bone marrow
CTSG,P08311,bone marrow
PRTN3,P24158,bone marrow
GYPA,P02724,bone marrow
ITGB3,P05106,bone marrow
HBQ1,P09105,bone marrow
ITGA2B,P08514,bone marrow
PF4,P02776,bone marrow
GATA1,P15976,bone marrow
NFE2,Q16621,bone marrow
DEFA1,P59665,bone marrow
SPTA1,P02549,bone marrow
GFI1B,Q5VTD9,bone marrow
EPX,P11678,bone marrow
